Source,1,10,2,24c,25,3,32,45A,46d,5,7A,7B,7m,8B,8l,8m,9,9-46d,9-46v,DP,F1,F2,F3,F4,F5,F7,LIP,MT,OPRO,PBr,ProM,STPc,STPi,STPr,TEO,TEpd,V1,V2,V4,V6
7A,0.003711632790328,0.00016783391635816723,5.84412548506242e-06,0.007961342490031,0.0,0.000146604805188,0.0,0.001665661526091,0.000518683047012,0.150560246068862,0.0,0.397269172134951,0.078479655793595,0.000888476841658,0.00171486316821,0.001602136181575,1.33543441681579e-05,0.000729963851258,0.021973711157326,0.117309470921638,0.000360145408709,0.008339969720572,0.001615024340724,0.012020964562197,7.16773943833594e-05,0.002189072690754,0.361885479935628,0.000459992040927,1.74841222314985e-05,2.27712626665149e-05,1.65700998072345e-05,0.001448493282967,0.0,0.000193483160152,0.000470118117177,0.00201945289363,4.72355400203112e-06,0.0,6.16263536702509e-05,0.010692779268637
7B,0.001455944354217,0.0,0.002068820421712,0.004319893664156,0.0,0.004398144155643,0.0,0.0,0.0,0.011393239383572,0.000475220017729,0.0,5.95512810969346e-06,0.0,3.06225565751733e-05,0.000728243718898,0.0,0.001110476922659,0.019669038642926,0.0,0.0,5.250767924809e-05,0.000986959319331,0.018676571941466,0.075633986553321,5.64193992462368e-05,0.005087473394591,0.0,0.0,0.0,0.001110196687085,0.000227214632622,0.0,0.0,2.61176731764967e-05,0.0,0.0,0.0,0.0,2.58779749967006e-06
7m,3.28100136161556e-05,0.0,0.0,0.019522596366859,1.48771666733614e-05,0.0,0.0,1.43591510869877e-05,0.000752927003727,0.00182040739462,0.021613371960191,0.018625306555313,0.0,0.002649978753815,0.000122490226301,0.000546182789173,9.34804091771053e-05,0.034696579653423,0.0007672626894,0.000233196050687,0.0,0.007473593012978,0.000717788595877,8.01397637479765e-06,4.77849295889063e-06,0.005619372164925,0.029434667497275,0.0,0.0,0.000216326995332,0.0,4.26027436166889e-05,0.0,0.0,5.22353463529934e-05,0.0,0.0,0.0,0.0,0.0447067896043
8B,8.20250340403891e-06,0.0186466286461665,0.0,0.042866637128932,0.002398199267746,5.17428724193242e-05,0.002315397932221,0.019198185003303,0.03896815537067,0.0,0.007448159893258,0.0,0.038398666051304,0.0,0.020608980575092,0.017210826556621,0.268248711305788,0.070977336175533,0.016395192205073,0.001118550548208,0.000360145408709,0.000140020477995,0.002566094230261,0.00140244586559,4.30064366300156e-05,0.103766559093679,0.001142085864092,0.0,0.0,0.000925082545827,0.0,0.000795251214178,0.000207779255319,0.000599525284979,1.30588365882484e-05,0.0,0.0,0.0,0.0,0.003436595079562
8l,8.20250340403891e-06,0.00043846545845538197,0.0,8.30748781568454e-05,0.0,0.000206971489677,0.0,0.155825507595991,6.69268447757323e-05,0.0,0.000466081171235,0.0,0.00057764742664,0.000934832155136,0.0,0.183602378929482,6.67717208407895e-05,0.014704112259122,0.002999824048782,0.0,0.0,1.75025597493633e-05,0.001330472433073,0.014889968104374,0.000821900788929,0.003125634718242,0.004204952499611,0.002312065258345,8.74206111574926e-06,2.84640783331436e-06,0.0,0.0005112329234,0.0,4.90520687710004e-05,0.006196417961124,0.004592626741966,0.00022411450976859997,0.00010890779817580971,0.0025678555011160002,0.000282069927464
8m,5.33162721262529e-05,0.0057164569620565,0.0,2.76916260522818e-05,8.92630000401683e-06,0.000396695355215,2.14388697427872e-05,0.013167341546768,0.03662571580352,0.0,0.000539191943193,0.000185590243256,0.018574044574134,0.049074825201839,0.415374564904509,0.0,0.014022061376566,0.221540146070426,0.033955700675249,0.001920903061587,4.50181760885958e-05,0.000236284556616,0.000305060153248,0.011303713676652,2.86709577533438e-05,0.036909570986888,0.028655972589939,0.000638541583129,0.0,0.000444039621997,0.0,0.007256667329376,4.15558510638298e-05,0.000354264941124,0.0,2.50552468192364e-05,0.0,2.4677286850677866e-05,4.023918169600105e-06,0.002395006585945
9,0.0,0.11151803113225975,0.0,0.0133473637572,0.007646863670108,0.0,0.067300185267566,0.0,0.118138429812563,0.0,8.22496184531589e-05,0.0,0.000482365376885,0.176428323096535,0.002572294752315,0.002039082412914,0.0,0.02429071198655,0.000435551376314,1.58099017414607e-05,4.50181760885958e-05,0.0,0.000415291973329,8.01397637479765e-06,4.77849295889063e-05,0.115761323373429,0.0,0.0,8.74206111574926e-06,0.001252419446658,2.2093466409646e-05,2.84018290777926e-05,0.000457114361702,0.001711372177122,0.0,0.0,0.0,0.0,0.0,7.76339249901017e-06
9-46d,0.0,0.011233598854107,0.0,0.005109105006646,0.000160673400072,5.17428724193242e-05,0.000110767493671,0.000847189914132,0.595816235615957,0.0,0.002951847417819,0.00025187247299,0.021581384269529,0.086962568084367,0.010146273745241,0.037407452360723,0.040223284634492,0.0,0.014254933124115,0.000778637660767,0.0,0.000166274317619,0.000338386052342,0.000256447243994,3.34494507122344e-05,0.025072781025028,0.005866168301926,6.05252685430509e-06,0.000109275763947,0.004121598542639,0.0,0.002300548155301,0.000197390292553,0.00010219180994,2.61176731764967e-05,0.0,0.0,0.0,4.023918169600105e-06,0.000878557251138
9-46v,3.28100136161556e-05,2.3333491318857474e-05,0.010829164523821,0.000747673903412,2.67789000120505e-05,5.17428724193242e-05,7.14628991426239e-06,0.091309841762155,0.000117121978358,0.0,0.003820037834824,0.012699675217074,0.001238666646816,0.000146791826013,0.02474302571274,0.091685884209249,0.000200315162522,0.016835762016253,0.0,0.0,0.0,0.000253787116366,0.001158715876202,0.005072847045247,0.002795418380951,0.003780099749498,0.002959040647874,3.93414245529831e-05,8.74206111574926e-06,0.0,0.018077978889693,0.0,0.0,0.000538210199015,0.000398294515942,0.001418126969969,0.0,0.0,1.60403789806874e-05,2.32901774970305e-05
DP,0.0,0.00011238401617072246,0.0,0.0,0.0,0.0,0.0,0.0,0.000619073314176,0.0,0.020763459236175,0.0,0.013428813887359,0.000104299455325,0.000530790980636,0.000206335720354,0.0,4.65934373143543e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011939988579141,0.014883163534736,0.0,5.69281566662871e-05,0.0,0.000198812803545,0.0,3.81516090441114e-05,0.001188354129531,8.01767898215565e-05,0.0005031980831450001,0.000421148756880951,0.00015820038974074984,0.022638052527114
F1,0.169266860245747,1.5585840575553926e-06,0.000444153536865,0.011173571112096,2.97543333467228e-06,0.351722175270356,1.07194348713936e-05,0.0,6.69268447757323e-05,0.336869527007941,0.000109666157938,0.000941207662226,0.000306689097649,7.72588557963457e-06,0.001408637602458,0.000825342881418,0.0,5.435901020008e-05,5.76889240150337e-05,0.0,0.0,0.16275630310933,0.07109183336025,0.202320847558141,0.004166845860153,0.000315948635779,0.000311477962934,3.02626342715254e-06,3.4968244462997e-05,0.0,6.6280399228938e-05,0.0,0.0,1.0900459726889e-05,0.0,0.0,0.0,0.0,0.0,0.000129389874984
F2,0.0,6.509246047941125e-05,0.0,0.049111098803722,5.95086666934456e-06,0.000465685851774,8.93286239282798e-06,2.87183021739755e-05,0.000133853689551,0.117573208624965,0.007100883726456,0.002929674554252,0.031693191799789,8.49847413759802e-05,0.018985985076608,0.021580288870009,0.001041638845116,0.021863970459761,0.005099700882929,0.001529607993486,0.402046076103227,0.0,0.29748235649996,0.08266015931785,0.001103831873504,0.098959626277899,0.000103825987645,6.05252685430509e-06,0.0,0.0,1.1046733204823e-05,0.0,0.0,1.63506895903335e-05,6.52941829412418e-06,0.0,2.36177700101556e-06,0.0,0.0,0.009341948973809
F3,0.003953606640747,1.718213058419245e-06,0.000590256673991,0.115044860434205,1.33894500060253e-05,0.000258714362097,2.32254422213528e-05,0.0,1.67317111939331e-05,0.044599981168199,0.000502636557214,0.001166567243322,0.001673390998824,0.0,0.000224565414885,0.000230610510984,8.01260650089474e-05,0.000357216352743,0.001220120742918,0.0,0.229941588916525,0.339829700093639,0.0,0.065955025564585,0.031103210669419,0.010087788585227,0.0,0.0,8.74206111574926e-06,0.0,0.00153549591547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3992557494391e-05
F4,0.000106632544253,7.105535112881012e-06,0.114240964982,0.003073770491803,0.0,0.019558805774505,7.14628991426239e-06,1.43591510869877e-05,3.34634223878662e-05,0.0,0.0,0.011917544906211,0.0,3.09035423185383e-05,0.005420192513806,0.038924626775094,8.01260650089474e-05,0.009369163686628,0.014468382142971,1.58099017414607e-05,0.02943063261792,0.004191863059973,0.052188357981681,0.0,0.514997300151478,0.002719415043669,0.052847427711156,2.11838439900678e-05,1.74841222314985e-05,0.0,0.003192505896194,0.0,0.0,5.45022986344449e-06,0.0,0.0,0.0,0.0,8.0478363392002e-06,0.000271718737465
