10.1111/j.1460-9568.2005.03921.x,15787707,,,,Divergence and convergence of thalamocortical projections to premotor and supplementary motor cortex: a multiple tracing study in the macaque monkey,,
10.1016/0304-3940(81)90071-9,6164960,,,,The projection from the dorsal lateral geniculate nucleus of the thalamus to extrastriate visual association cortex in the macaque monkey,,
10.1111/j.1460-9568.2007.05773.x,17880392,,,,"Distinct, parallel pathways link the medial mammillary bodies to the anterior thalamus in macaque monkeys",,
10.1016/0168-0102(92)90093-r,1374871,,,,An autoradiographic study of cortical projections from motor thalamic nuclei in the macaque monkey,,
10.1002/cne.10499,12483689,,,,Somatosensory input to the ventrolateral thalamic region in the macaque monkey: a potential substrate for parkinsonian tremor,,
10.1016/j.jneumeth.2017.10.009,29042259,,,,"Widespread optogenetic expression in macaque cortex obtained with MR-guided, convection enhanced delivery (CED) of AAV vector to the thalamus",,
10.1002/cne.21647,18253938,PMC3757573,,,Thalamic projections to the posteromedial cortex in the macaque,,
10.1002/cne.21934,19085970,PMC2646254,,,"Paraventricular thalamic nucleus: Subcortical connections and innervation by serotonin, orexin, and corticotropin‐releasing hormone in macaque monkeys",,
,,,,,EXPERIMENTAL HYPOGEUSIA FROM HORSLEY-CLARKE LESIONS OF THE THALAMUS IN MACACA MULATTA,,
,814157,,,,Stereotaxic coordinates for the Rhesus monkey thalamus and mesencephalon referencing visual afferents and cytoarchitecture.,,
10.1007/s00429-008-0178-0,18317800,PMC2649766,,,"Norepinephrinergic afferents and cytology of the macaque monkey midline, mediodorsal, and intralaminar thalamic nuclei",,
10.1002/cne.903350204,8227513,,,,"Thalamic projections to areas 3a, 3b, and 4 in the sensorimotor cortex of the mature and infant macaque monkey",,
10.1002/cne.901990104,7263946,,,,"Connections of the ventroposterior nucleus of the thalamus with the body surface representations in cortical areas 3b and 1 of the cynomolgus macaque,(Macaca …",,
10.1007/s004290050204,9924930,,,,Pallidal and cerebellar inputs to thalamocortical neurons projecting to the supplementary motor area in Macaca fuscata: a triple-labeling light microcopic study,,
