10.1016/j.bpsc.2022.02.012,35276404,PMC8902899,Primate Models as a Translational Tool for Understanding Prenatal Origins of Neurodevelopmental Disorders Associated With Maternal Infection.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8902899/,PMC,,
10.1007/s13311-023-01368-2,36976495,PMC10275847,Spatio-Temporal Characterization of Brain Inflammation in a Non-human Primate Stroke Model Mimicking Endovascular Thrombectomy.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10275847/,PMC,,
10.3389/fnins.2023.1194299,37383104,PMC10293749,Possible rodent equivalent of the posterior cingulate cortex (area 23) interconnects with multimodal cortical and subcortical regions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10293749/,PMC,,
10.1016/j.neurobiolaging.2023.02.002,36917864,,Brain volumetrics across the lifespan of the rhesus macaque.,https://linkinghub.elsevier.com/retrieve/pii/S0197-4580(23)00028-3,Elsevier Science,,
10.3390/pharmaceutics14071435,35890331,PMC9323200,Improving the Efficacy and Accessibility of Intracranial Viral Vector Delivery in Non-Human Primates.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9323200/,PMC,,
10.1002/cne.25490,37098996,,Expression of tau and phosphorylated tau in the brain of normal and hemiparkinsonian rhesus macaques.,https://doi.org/10.1002/cne.25490,Wiley,,
10.1016/j.neubiorev.2021.06.042,34216654,PMC8393355,Disentangling the influences of multiple thalamic nuclei on prefrontal cortex and cognitive control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8393355/,PMC,,
10.1038/s42003-023-04942-8,37217698,PMC10202933,Ultra-high field fMRI identifies an action-observation network in the common marmoset.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10202933/,PMC,,
10.3389/fnsys.2022.921468,36203745,PMC9532056,The inevitable inequality of cortical columns.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9532056/,PMC,,
10.3389/fncir.2021.815554,35173586,PMC8841555,Stimulus-Selective Response Plasticity in Primary Visual Cortex: Progress and Puzzles.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8841555/,PMC,,
10.3389/fnsys.2021.760311,34819842,PMC8606408,Non-human Primate Models to Explore the Adaptive Mechanisms After Stroke.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8606408/,PMC,,
