INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX_TAK	RELEVANCE_INDEX_500	RELEVANCE_INDEX_FULL_TEXT
3044	2.0	0.0	0.0	11.0	14.0	0.0	4.0	21.0	1.0	0.0	0.0	7.0	10.0	0.0	2.0	14.0	26.0	3.0	2.0	78.0	121.0	35.0	19.0	101.0	80.92503178120474	64.24173747858181	250.11823647392623
3045	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0																	34.657359027997266	0.0	0.0
3046	2.0	0.0	0.0	19.0	13.0	0.0	0.0	4.0	5.0	0.0	0.0	16.0	12.0	0.0	0.0	2.0	6.0	0.0	0.0	93.0	83.0	0.0	0.0	32.0	62.1859218324678	64.56753636349093	104.52867111480214
3047	4.0	0.0	0.0	1.0	0.0	0.0	4.0	10.0	2.0	3.0	0.0	2.0	0.0	0.0	3.0	6.0	5.0	49.0	0.0	21.0	15.0	6.0	46.0	79.0	51.10970641827332	42.792151407597885	154.19672899778257
3048	0.0	7.0	0.0	3.0	25.0	0.0	0.0	45.0																	45.13775020039212	0.0	0.0
3049	0.0	0.0	0.0	8.0	7.0	0.0	0.0	6.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	6.0	3.0	6.0	6.0	68.0	33.0	0.0	0.0	37.0	42.09900422703794	38.57115572424543	136.77967550715644
3050	4.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	21.0	14.0	0.0	58.0	2.0	0.0	0.0	4.0	41.743872698956366	31.780538303479457	79.80994957594699
3051	9.0	0.0	0.0	8.0	20.0	0.0	12.0	0.0	3.0	3.0	0.0	0.0	8.0	0.0	7.0	3.0	27.0	9.0	0.0	18.0	56.0	0.0	45.0	23.0	85.87020246653513	49.80236499803803	132.55320416323178
3052	14.0	31.0	0.0	19.0	0.0	0.0	0.0	18.0	4.0	16.0	0.0	12.0	1.0	0.0	0.0	14.0	6.0	50.0	0.0	34.0	2.0	0.0	3.0	58.0	64.82854783679475	53.08343291915472	86.89262311406667
3053	45.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	14.0	2.0	0.0	0.0	0.0	6.0	16.0	0.0	64.0	11.0	3.0	2.0	12.0	76.57282792978191	44.23928248822534	119.49783764672367
3054	2.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0																	25.437981676161925	0.0	0.0
3055	2.0	0.0	0.0	6.0	14.0	0.0	0.0	4.0	1.0	0.0	0.0	5.0	9.0	0.0	0.0	3.0	40.0	2.0	0.0	81.0	77.0	148.0	6.0	90.0	52.03266494491578	43.29346376844968	242.88155783784393
3056	3.0	0.0	0.0	3.0	0.0	3.0	0.0	9.0	1.0	0.0	0.0	3.0	3.0	1.0	0.0	12.0	10.0	12.0	0.0	18.0	16.0	4.0	8.0	95.0	66.96469990976586	54.4135776209044	139.44225550438952
3057	4.0	0.0	0.0	12.0	3.0	0.0	0.0	4.0																	56.72253406672632	0.0	0.0
3058	0.0	0.0	0.0	9.0	20.0	6.0	6.0	2.0	2.0	2.0	1.0	11.0	14.0	3.0	5.0	11.0	7.0	2.0	1.0	14.0	21.0	3.0	7.0	21.0	102.11882903355753	122.57491049035292	142.4370995372622
3059	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	26.0	1.0	28.0	6.0	0.0	6.0	1.0	8.788898309344878	5.545177444479562	97.8587676372825
3060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	1.0	0.0	0.0	3.0	0.0	0.0	37.47770971942128
