INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
7649	0.0	9.0	0.0	0.0	6.0	0.0	3.0	0.0	Y		3.0523966162074925
5403	0.0	10.0	0.0	0.0	6.0	0.0	0.0	7.0		Y	3.0523966162074925
5666	0.0	2.0	0.0	0.0	6.0	0.0	0.0	7.0	Y	Y	3.0523966162074925
8290	0.0	4.0	0.0	0.0	6.0	0.0	3.0	0.0	Y		3.0523966162074925
9724	0.0	6.0	0.0	0.0	6.0	0.0	3.0	0.0		Y	3.0523966162074925
7159	0.0	0.0	0.0	0.0	6.0	0.0	0.0	7.0	Y		3.0523966162074925
8698	0.0	0.0	0.0	0.0	8.0	0.0	0.0	6.0	Y		3.044522437723423
5875	0.0	10.0	0.0	0.0	8.0	0.0	0.0	6.0		Y	3.044522437723423
7653	0.0	2.0	0.0	0.0	8.0	0.0	0.0	6.0	Y	Y	3.044522437723423
7174	0.0	6.0	0.0	0.0	0.0	2.0	0.0	6.0		Y	3.044522437723423
9762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	Y		3.044522437723423
8115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	Y		3.044522437723423
4751	0.0	4.0	0.0	0.0	8.0	0.0	0.0	6.0		Y	3.044522437723423
4395	6.0	13.0	0.0	0.0	6.0	0.0	0.0	2.0	Y		3.044522437723423
9052	0.0	2.0	0.0	0.0	0.0	0.0	0.0	20.0		Y	3.044522437723423
7667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	Y		3.044522437723423
5397	0.0	9.0	0.0	0.0	2.0	11.0	0.0	0.0		Y	3.034212794122056
6608	5.0	3.0	0.0	0.0	7.0	0.0	0.0	2.0	Y		3.034212794122056
5115	0.0	0.0	0.0	0.0	2.0	0.0	0.0	11.0	Y		3.034212794122056
4349	0.0	5.0	0.0	0.0	11.0	0.0	0.0	5.0	Y	Y	3.034212794122056
9244	0.0	9.0	0.0	0.0	0.0	3.0	2.0	0.0		Y	3.034212794122056
7946	0.0	0.0	0.0	0.0	16.0	0.0	0.0	4.0	Y		3.0260445844622086
7829	0.0	9.0	0.0	0.0	16.0	0.0	0.0	4.0	Y	Y	3.0260445844622086
6977	0.0	10.0	0.0	0.0	14.0	0.0	2.0	0.0	Y	Y	3.00194353355327
5747	14.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	Y		3.00194353355327
5560	0.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	Y		3.00194353355327
6959	0.0	6.0	0.0	0.0	15.0	0.0	0.0	4.0	Y	Y	2.9957322735539917
5106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	Y		2.995732273553991
10221	0.0	5.0	0.0	0.0	0.0	0.0	0.0	19.0	Y		2.995732273553991
6643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	Y		2.995732273553991
8092	0.0	3.0	0.0	0.0	0.0	0.0	0.0	19.0	Y	Y	2.995732273553991
7443	0.0	10.0	0.0	0.0	0.0	0.0	0.0	19.0		Y	2.995732273553991
7125	0.0	2.0	0.0	0.0	0.0	0.0	0.0	19.0		Y	2.995732273553991
5799	0.0	6.0	0.0	0.0	10.0	0.0	0.0	5.0		Y	2.9907071056272403
