INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK
2425	0	0	2	23	0	0	2	2
2426	3	0	0	6	19	0	0	20
2427	0	21	0	13	4	2	8	6
2428	0	0	10	22	6	0	0	23
2429	0	2	1	21	0	0	8	2
2430	3	2	0	16	0	2	0	4
2431	0	0	1	29	0	0	0	1
2432	0	4	0	9	18	0	0	3
2433	0	0	1	14	10	0	0	1
2434	4	0	0	4	0	0	0	38
2435	7	0	0	21	12	2	18	15
2436	0	0	0	6	1	13	0	0
2437	0	0	0	6	0	0	0	0
2438	0	0	6	21	12	0	0	18
2439	0	0	0	24	2	0	0	2
2440	0	0	0	21	12	0	0	5
2441	0	0	0	11	6	0	0	2
2442	5	0	0	12	7	0	0	2
2443	0	2	0	9	1	0	0	0
2444	0	24	0	54	0	0	12	0
2445	3	0	0	9	0	0	0	24
2446	0	0	2	19	0	0	0	4
2447	4	0	0	23	0	2	4	16
2448	0	0	0	10	0	0	0	3
2449	0	0	0	16	6	0	0	0
2450	0	0	0	6	0	0	0	6
2451	0	0	0	11	7	0	0	0
2452	0	0	0	14	5	0	0	19
2453	NA	NA	NA	NA	NA	NA	NA	NA
2454	0	12	4	13	0	0	0	8
2455	0	0	0	10	8	0	0	7
2456	0	0	0	4	0	0	2	0
2457	0	0	0	22	0	0	0	0
2458	0	0	0	34	0	0	0	0
2459	4	0	13	29	0	8	4	17
2460	4	0	0	2	0	0	0	0
2461	0	0	0	24	15	9	14	8
2462	0	2	0	14	0	0	0	0
2463	18	16	0	0	3	0	6	15
2464	0	0	1	36	4	3	5	10
2465	4	0	0	19	0	0	0	24
2466	1	0	0	3	0	2	14	0
2467	0	0	0	21	1	0	0	7
2468	0	0	0	7	0	0	0	22
2469	0	0	2	19	2	0	0	4
2470	NA	NA	NA	NA	NA	NA	NA	NA
2471	2	0	0	15	0	0	0	23
2472	4	0	0	32	0	0	32	24
2473	0	10	0	10	0	0	0	0
2474	6	6	0	12	5	0	10	0
2475	3	1	0	2	10	0	0	15
2476	4	0	0	6	7	0	1	7
2478	0	0	0	15	0	0	0	0
2479	NA	NA	NA	NA	NA	NA	NA	NA
2480	0	0	1	20	0	0	0	3
2481	8	2	0	15	0	0	0	0
2482	0	4	0	18	0	0	0	0
2483	5	0	0	0	2	0	0	7
2484	0	0	0	5	0	0	0	0
2485	NA	NA	NA	NA	NA	NA	NA	NA
2486	0	0	0	6	0	0	0	25
2488	0	0	0	2	0	4	4	24
2489	6	1	0	7	13	8	8	14
2490	2	0	0	8	0	0	0	13
2492	4	0	0	0	7	4	16	30
2494	4	0	0	7	0	0	0	0
2495	0	0	0	2	0	0	0	0
2496	8	7	0	10	2	0	0	10
2497	4	2	0	15	0	0	0	2
2498	6	0	0	22	4	3	15	7
2500	4	0	0	6	0	0	0	0
2501	9	0	0	0	5	0	0	0
2502	0	0	0	0	0	0	0	0
2503	11	0	0	11	21	7	10	16
2504	3	3	0	8	8	0	0	14
2505	4	0	0	30	8	0	0	0
2506	3	4	0	22	3	3	10	0
2507	0	0	0	22	0	0	0	0
2508	2	0	0	4	0	0	0	16
2509	0	0	0	4	10	0	0	0
2510	NA	NA	NA	NA	NA	NA	NA	NA
2511	3	0	0	0	6	0	0	3
2514	0	0	0	30	0	0	0	37
2517	NA	NA	NA	NA	NA	NA	NA	NA
2518	14	0	0	5	0	0	0	0
2519	2	0	0	23	0	0	2	21
2520	0	0	0	11	0	0	0	0
2521	0	0	18	18	18	0	0	3
2523	0	10	1	6	3	0	0	6
2524	4	0	0	6	6	0	4	16
2525	NA	NA	NA	NA	NA	NA	NA	NA
2526	0	0	0	29	0	0	6	28
2527	0	3	0	6	22	0	0	17
2528	0	5	6	9	14	0	2	7
2529	0	0	0	13	0	0	0	0
2530	0	0	0	12	4	0	0	0
2531	NA	NA	NA	NA	NA	NA	NA	NA
2532	0	4	0	31	0	0	0	0
2533	NA	NA	NA	NA	NA	NA	NA	NA
2534	15	0	0	22	14	0	12	10
2535	0	0	19	19	11	0	3	4
2536	0	0	0	5	5	0	0	0
2537	0	0	0	13	0	0	0	0
2538	0	0	0	21	4	0	22	12
2539	NA	NA	NA	NA	NA	NA	NA	NA
2541	6	0	0	28	0	0	0	13
2542	4	0	0	0	4	0	0	0
2543	NA	NA	NA	NA	NA	NA	NA	NA
2544	0	0	4	8	0	0	4	1
2545	NA	NA	NA	NA	NA	NA	NA	NA
2546	2	0	0	17	0	0	0	13
2547	7	0	0	9	1	0	1	1
2548	7	0	0	16	0	7	7	13
2549	0	18	3	15	0	0	3	4
2550	0	0	0	6	0	0	0	0
2551	0	0	0	6	20	0	0	2
2552	0	5	0	7	0	0	0	7
2553	0	0	4	6	17	0	0	2
2554	11	0	0	33	14	0	0	23
2555	NA	NA	NA	NA	NA	NA	NA	NA
2556	9	0	0	0	9	0	0	0
2557	14	6	0	17	0	0	0	3
2558	NA	NA	NA	NA	NA	NA	NA	NA
2559	NA	NA	NA	NA	NA	NA	NA	NA
2560	0	2	0	6	10	0	0	1
2561	NA	NA	NA	NA	NA	NA	NA	NA
2562	6	3	0	9	0	0	0	0
2566	4	5	0	8	0	0	6	0
2567	0	0	7	16	10	5	15	13
2568	4	0	0	0	17	0	0	0
2569	NA	NA	NA	NA	NA	NA	NA	NA
2571	0	9	0	6	0	3	6	9
2572	5	0	0	10	0	0	8	0
2574	5	8	0	21	0	5	24	9
2575	6	0	0	0	0	0	24	3
2576	6	0	0	6	0	0	0	0
2577	NA	NA	NA	NA	NA	NA	NA	NA
2579	NA	NA	NA	NA	NA	NA	NA	NA
2580	3	0	0	7	0	0	0	3
2581	0	0	0	0	6	0	0	9
2582	NA	NA	NA	NA	NA	NA	NA	NA
2583	12	0	0	25	23	0	18	18
2584	3	2	0	22	0	1	2	4
2586	15	0	0	22	0	7	42	22
2588	NA	NA	NA	NA	NA	NA	NA	NA
2589	0	0	0	0	0	0	0	0
2590	8	0	0	8	0	0	0	13
2593	0	0	0	19	0	0	19	10
2594	NA	NA	NA	NA	NA	NA	NA	NA
2595	NA	NA	NA	NA	NA	NA	NA	NA
2597	NA	NA	NA	NA	NA	NA	NA	NA
2598	2	0	0	9	0	7	13	4
2599	NA	NA	NA	NA	NA	NA	NA	NA
2601	NA	NA	NA	NA	NA	NA	NA	NA
2602	NA	NA	NA	NA	NA	NA	NA	NA
2603	0	0	0	2	0	0	0	0
2605	3	0	0	0	0	0	0	0
2608	NA	NA	NA	NA	NA	NA	NA	NA
2614	0	3	0	17	3	0	0	7
2616	0	0	2	2	30	0	0	0
2617	0	12	0	22	2	0	0	6
2618	0	0	0	5	7	0	0	0
2620	0	0	0	22	0	0	0	0
2621	NA	NA	NA	NA	NA	NA	NA	NA
2622	4	0	0	6	0	0	0	0
2624	0	0	0	16	2	0	0	16
2625	NA	NA	NA	NA	NA	NA	NA	NA
2626	NA	NA	NA	NA	NA	NA	NA	NA
2627	0	0	0	5	0	0	2	0
2628	0	0	0	11	6	0	0	0
2629	2	2	0	9	2	3	0	3
2630	2	1	2	8	6	0	0	4
2631	6	2	0	20	2	0	0	4
2632	0	0	0	4	0	0	0	0
2633	0	0	0	15	0	0	0	4
2634	0	5	0	18	0	0	0	0
2635	8	0	0	8	6	0	0	0
2636	0	6	0	4	0	0	0	0
2637	6	0	0	4	0	0	2	2
2638	0	0	3	12	0	0	0	0
2639	NA	NA	NA	NA	NA	NA	NA	NA
2640	NA	NA	NA	NA	NA	NA	NA	NA
2641	34	0	0	12	11	0	0	0
2642	0	0	0	12	0	6	6	8
2643	0	0	0	10	1	0	4	36
2644	11	0	0	11	0	0	0	0
2645	NA	NA	NA	NA	NA	NA	NA	NA
2647	0	0	0	35	0	0	10	0
2648	0	0	0	0	0	0	0	0
2649	2	0	0	10	0	0	0	6
2650	NA	NA	NA	NA	NA	NA	NA	NA
2651	0	6	0	7	0	0	0	0
2652	4	0	0	7	0	0	0	1
2653	0	0	0	7	0	0	3	3
2654	0	0	0	6	0	0	0	28
2655	0	0	2	2	18	0	0	2
2656	0	0	0	4	0	0	0	0
2658	3	0	0	3	6	0	21	40
2659	0	0	0	17	0	0	0	0
2660	NA	NA	NA	NA	NA	NA	NA	NA
2661	0	4	0	9	0	0	0	0
2662	3	0	0	8	0	0	0	0
2664	0	0	0	22	0	0	4	22
2665	8	2	0	13	0	0	0	0
2666	2	0	0	1	7	0	0	12
2667	2	0	0	4	9	0	0	0
2668	0	5	2	13	13	0	4	0
2669	11	0	0	21	3	3	0	28
2670	NA	NA	NA	NA	NA	NA	NA	NA
2671	NA	NA	NA	NA	NA	NA	NA	NA
2672	0	0	2	2	17	0	0	2
2673	0	0	0	0	0	0	0	0
2674	0	0	0	6	0	0	0	2
2675	0	4	0	13	0	0	0	4
2676	0	0	0	23	0	0	0	0
2677	NA	NA	NA	NA	NA	NA	NA	NA
2678	0	0	1	3	16	0	6	22
2679	0	0	0	0	24	0	0	0
2680	3	0	0	4	13	0	0	4
2681	0	2	2	7	6	0	12	22
2682	16	0	0	16	12	0	0	0
2683	6	0	0	8	0	0	0	2
2684	0	0	0	17	0	0	0	0
2685	4	2	0	15	4	0	0	31
2686	NA	NA	NA	NA	NA	NA	NA	NA
2687	13	0	0	21	0	0	0	0
2688	0	0	2	2	4	0	0	7
2689	NA	NA	NA	NA	NA	NA	NA	NA
2690	2	5	0	2	27	0	0	7
2691	3	0	0	27	0	5	6	15
2692	NA	NA	NA	NA	NA	NA	NA	NA
2693	0	0	0	23	0	0	0	23
2694	8	0	0	0	6	0	0	15
2695	10	0	0	27	0	0	0	0
2697	6	2	0	0	0	0	0	0
2698	0	0	3	25	5	0	2	13
2699	NA	NA	NA	NA	NA	NA	NA	NA
2700	0	0	0	0	0	0	0	0
2701	0	6	0	22	0	4	0	0
2702	0	0	0	2	6	0	0	4
2703	5	1	0	17	21	19	21	4
2704	3	0	0	2	2	0	2	6
2705	0	0	0	9	23	0	0	3
2706	6	0	0	2	12	0	0	17
2707	5	4	0	4	0	0	1	0
2708	3	0	0	0	5	0	0	2
2709	0	0	0	0	21	0	0	11
2710	0	0	0	8	0	0	0	0
2711	16	0	0	15	15	8	8	15
2712	2	0	0	8	6	1	6	19
2713	5	5	0	8	0	0	0	10
2714	NA	NA	NA	NA	NA	NA	NA	NA
2715	5	0	0	10	0	2	14	17
2716	0	0	0	21	0	0	2	0
2717	5	0	0	14	5	0	0	4
2718	3	0	0	9	8	2	0	9
2719	10	0	0	10	0	0	0	20
2720	5	0	0	0	0	0	0	0
2721	0	12	0	6	0	0	0	6
2722	0	0	0	14	0	0	0	1
2723	0	0	0	16	0	0	0	0
2724	0	7	0	7	0	2	8	2
2725	6	0	0	14	16	0	6	21
2727	0	13	0	13	0	4	32	17
2728	NA	NA	NA	NA	NA	NA	NA	NA
2729	6	0	0	4	0	0	0	3
2730	0	0	0	11	5	0	4	7
2731	NA	NA	NA	NA	NA	NA	NA	NA
2732	6	0	0	3	3	0	0	2
2733	14	0	0	5	0	0	0	0
2734	2	2	0	17	0	0	0	0
2735	0	0	10	19	12	0	0	10
2736	0	1	0	4	0	0	0	0
2737	0	0	0	0	0	0	0	2
2738	2	0	0	1	12	0	0	1
2739	3	6	0	8	8	0	0	0
2740	NA	NA	NA	NA	NA	NA	NA	NA
2741	0	1	2	2	0	0	2	3
2742	7	0	0	7	0	0	0	0
2743	0	1	0	0	0	0	0	0
2744	0	0	0	10	34	0	6	9
2745	0	0	0	30	0	2	8	15
2746	0	3	3	9	9	0	0	3
2747	0	0	0	5	4	0	0	18
2749	0	0	0	0	0	0	0	0
2750	0	0	0	18	0	0	2	0
2751	0	5	3	27	5	0	0	2
2752	0	0	0	21	14	6	6	19
2753	4	0	0	5	7	0	0	11
2754	6	0	0	7	0	0	6	2
2755	6	3	0	4	5	0	0	7
2756	NA	NA	NA	NA	NA	NA	NA	NA
2757	8	0	0	12	12	0	6	0
2758	4	2	0	1	5	0	0	0
2759	NA	NA	NA	NA	NA	NA	NA	NA
2760	4	0	0	6	0	2	0	6
2761	0	0	0	24	2	0	2	2
2762	0	0	0	4	0	0	2	0
2763	5	0	0	29	18	5	5	10
2764	0	0	0	21	2	0	0	0
2766	0	0	0	0	33	0	0	0
2767	0	0	0	9	30	0	0	25
2768	5	0	0	7	7	3	2	23
2769	6	20	0	0	25	0	0	0
2770	0	0	0	6	0	0	3	19
2771	0	0	0	4	18	0	0	25
2772	NA	NA	NA	NA	NA	NA	NA	NA
2773	0	12	0	21	0	0	0	0
2774	0	0	0	4	0	0	0	24
2775	4	0	0	8	0	0	2	4
2776	3	3	0	15	0	0	0	2
2777	0	0	0	2	0	0	0	2
2778	0	0	0	14	4	0	0	0
2780	0	0	0	3	6	0	0	6
2781	6	0	0	0	3	0	0	4
2782	0	2	0	19	5	13	0	2
2783	0	0	0	8	0	4	0	16
2784	NA	NA	NA	NA	NA	NA	NA	NA
2785	NA	NA	NA	NA	NA	NA	NA	NA
2786	4	0	0	25	11	3	12	23
2787	0	0	0	10	7	0	0	0
2788	0	0	3	14	3	0	0	3
2789	0	0	0	27	23	6	11	5
2792	0	2	0	2	8	0	0	4
2793	3	0	0	16	0	0	0	0
2794	3	0	0	6	0	0	3	0
2795	NA	NA	NA	NA	NA	NA	NA	NA
2796	0	0	4	8	15	0	0	16
2797	NA	NA	NA	NA	NA	NA	NA	NA
2798	0	0	0	2	14	0	0	8
2799	4	3	0	14	0	0	0	0
2801	0	9	0	2	27	7	18	17
2802	4	0	0	0	10	0	0	3
2803	0	0	0	10	0	0	0	2
2804	0	2	0	6	0	0	0	6
2805	NA	NA	NA	NA	NA	NA	NA	NA
2806	0	0	0	12	0	0	0	8
2807	NA	NA	NA	NA	NA	NA	NA	NA
2808	4	0	0	8	15	0	1	0
2809	2	0	0	8	0	0	0	22
2810	0	2	0	6	0	0	0	0
2811	6	2	0	4	2	0	0	9
2812	0	0	3	14	7	4	15	1
2813	0	0	0	14	0	0	0	0
2814	4	0	0	11	0	0	0	0
2815	0	0	0	0	0	0	0	0
2816	2	0	0	9	0	0	0	14
2817	4	0	0	3	11	6	10	14
2818	2	0	0	4	0	0	0	9
2819	0	0	0	15	0	2	9	18
2820	5	3	0	6	0	0	0	0
2821	0	0	0	0	0	0	0	0
2822	0	2	0	6	7	0	2	4
2823	8	0	0	11	7	0	0	24
2824	NA	NA	NA	NA	NA	NA	NA	NA
2825	0	0	2	13	4	0	2	6
2826	2	0	1	17	5	0	0	7
2827	NA	NA	NA	NA	NA	NA	NA	NA
2828	4	0	0	4	0	0	0	0
2829	1	1	0	2	1	3	5	11
2830	0	0	0	9	5	0	0	8
2831	0	0	14	14	6	0	0	10
2832	2	2	0	3	0	0	1	3
2833	0	0	0	0	0	0	0	0
2834	5	0	0	8	0	0	0	0
2835	10	0	0	17	0	0	0	0
2836	0	0	1	13	4	0	0	6
2837	0	0	0	0	9	0	0	9
2838	4	0	0	11	0	0	0	0
2839	2	0	0	9	0	0	0	0
2840	2	0	0	5	19	0	3	4
2841	NA	NA	NA	NA	NA	NA	NA	NA
2842	8	0	4	7	0	0	0	0
2843	NA	NA	NA	NA	NA	NA	NA	NA
2844	0	2	0	6	15	6	14	22
2845	0	0	0	0	3	4	20	16
2846	0	0	0	22	7	0	0	7
2847	2	0	0	4	6	2	4	5
2848	3	0	0	11	0	0	0	0
2849	14	0	0	9	0	0	0	10
2851	3	0	0	11	12	0	0	2
2852	4	0	0	6	10	0	0	1
2854	0	7	2	4	11	2	6	4
2855	7	6	0	0	0	0	0	9
2856	5	0	0	29	0	0	0	4
2857	6	0	0	0	8	3	3	21
2858	9	0	0	0	12	0	21	28
2859	6	0	0	6	0	0	3	3
2860	NA	NA	NA	NA	NA	NA	NA	NA
2861	8	0	0	10	0	0	0	6
2862	NA	NA	NA	NA	NA	NA	NA	NA
2863	0	2	0	13	0	0	8	15
2864	5	0	0	21	0	0	0	0
2865	NA	NA	NA	NA	NA	NA	NA	NA
2866	4	0	0	19	0	0	0	5
2867	17	0	0	0	0	0	0	0
2868	NA	NA	NA	NA	NA	NA	NA	NA
2869	0	0	0	0	11	0	0	0
2871	0	3	0	11	0	0	0	0
2872	7	0	0	4	21	2	2	17
2873	12	12	0	18	0	0	0	6
2874	0	0	0	0	0	0	5	4
2875	2	0	0	10	7	0	0	2
2877	0	0	0	0	3	0	0	0
2878	4	0	0	19	4	8	8	6
2879	8	2	0	14	10	2	14	4
2880	5	10	0	11	0	0	0	0
2881	NA	NA	NA	NA	NA	NA	NA	NA
2882	0	36	0	13	0	0	0	29
2883	10	0	0	2	0	0	2	37
2884	3	0	0	0	4	0	0	0
2886	0	0	0	17	0	0	3	3
2887	3	0	0	9	3	0	0	0
2888	0	0	0	19	0	0	0	8
2889	0	5	0	10	4	2	0	0
2890	0	0	2	14	6	0	6	11
2891	0	0	0	57	0	0	0	5
2892	0	0	0	23	6	16	0	2
2893	12	0	0	0	0	0	0	0
2894	8	0	0	2	14	0	0	9
2895	3	0	0	8	0	0	0	2
2896	5	0	4	14	15	0	5	34
2897	0	1	0	5	0	0	0	3
2898	0	0	0	7	0	0	3	9
2899	0	11	0	22	11	0	0	11
2900	0	18	0	12	17	0	15	2
2901	4	1	0	4	0	6	6	17
2902	0	0	0	4	2	0	0	4
2903	6	0	2	12	7	0	5	2
2904	0	0	0	8	5	0	0	0
2905	6	10	0	8	0	0	0	2
2906	0	7	0	3	3	0	0	0
2907	8	0	0	4	0	0	0	0
2908	8	0	0	8	0	0	0	4
2909	NA	NA	NA	NA	NA	NA	NA	NA
2911	7	7	0	5	0	0	0	9
2912	4	0	0	21	0	0	0	3
2913	3	0	0	0	0	0	0	0
2914	8	0	0	16	0	0	0	0
2915	4	0	0	0	5	0	0	24
2916	5	0	0	14	0	7	24	18
2917	6	0	0	2	2	0	0	5
2918	0	0	0	8	0	0	0	8
2919	4	2	0	0	2	0	0	0
2920	9	0	0	13	8	0	4	4
2921	0	0	0	29	14	0	0	0
2922	7	0	0	14	2	1	1	2
2923	0	0	0	6	0	0	2	2
2924	3	0	0	9	8	0	0	0
2925	6	0	0	18	2	0	0	2
2927	NA	NA	NA	NA	NA	NA	NA	NA
2928	0	0	0	21	0	0	1	3
2929	0	0	0	16	0	0	0	6
2930	0	18	2	17	5	0	0	2
2931	NA	NA	NA	NA	NA	NA	NA	NA
2932	4	0	0	4	0	8	7	13
2933	2	0	0	13	0	0	0	0
2934	4	0	0	5	5	0	0	10
2935	4	5	0	2	0	0	0	0
2936	0	0	0	8	3	2	4	10
2937	0	0	0	0	7	0	0	0
2938	NA	NA	NA	NA	NA	NA	NA	NA
2939	8	0	0	4	0	0	0	0
2940	1	0	0	2	0	0	0	1
2941	NA	NA	NA	NA	NA	NA	NA	NA
2942	0	0	0	10	2	0	2	8
2943	NA	NA	NA	NA	NA	NA	NA	NA
2944	NA	NA	NA	NA	NA	NA	NA	NA
2945	0	0	5	8	5	8	9	18
2946	3	0	0	6	0	2	5	0
2947	4	0	0	10	4	0	0	2
2948	4	5	0	4	13	6	8	20
2949	4	1	0	9	0	0	0	5
2950	0	0	0	4	0	2	2	3
2951	0	0	0	5	7	1	0	1
2952	6	0	0	10	0	0	0	0
2953	0	2	0	2	2	0	0	0
2954	8	0	0	8	12	4	8	15
2955	0	0	0	34	0	0	0	20
2956	4	4	0	15	5	0	0	0
2957	2	0	0	7	8	0	0	17
2958	0	0	0	13	0	0	0	0
2959	6	0	0	29	14	0	0	14
2961	0	5	0	0	0	6	5	16
2962	0	0	0	0	10	0	0	4
2963	3	0	0	6	2	0	15	2
2964	6	1	0	10	12	0	0	11
2965	6	0	0	6	0	0	0	0
2966	0	24	0	20	20	0	0	26
2967	7	0	0	13	0	0	3	12
2968	5	0	0	12	0	0	0	0
2969	6	0	0	12	12	0	0	14
2970	3	0	0	42	10	0	0	0
2971	6	0	0	2	6	3	7	17
2972	0	5	0	0	0	0	0	0
2973	4	0	0	3	0	0	2	18
2974	0	0	0	0	25	0	0	0
2975	3	0	0	6	3	6	6	6
2976	0	3	0	2	0	0	3	0
2977	0	0	0	10	0	0	5	10
2979	0	0	0	9	0	0	0	22
2980	0	10	0	10	5	0	5	14
2981	2	0	0	0	0	0	0	1
2982	0	0	0	17	0	0	0	13
2983	3	0	0	8	0	0	0	9
2984	3	0	0	12	10	0	0	6
2985	3	0	0	13	17	0	6	8
2986	0	0	0	28	19	0	0	0
2987	6	0	0	0	5	0	0	0
2988	0	0	0	11	5	0	0	5
2989	4	0	0	0	24	0	0	3
2990	2	0	0	2	0	0	0	0
2991	6	0	0	12	0	0	0	19
2992	0	0	0	4	0	0	6	14
2993	NA	NA	NA	NA	NA	NA	NA	NA
2994	0	0	0	12	4	0	2	2
2995	4	0	0	24	4	0	0	0
2996	8	0	0	6	3	0	0	0
2997	0	0	0	7	0	0	6	2
2998	5	0	0	0	10	0	0	0
2999	3	0	0	20	0	3	0	17
3000	NA	NA	NA	NA	NA	NA	NA	NA
3001	4	0	0	17	21	4	4	27
3003	13	0	0	19	0	0	0	0
3004	NA	NA	NA	NA	NA	NA	NA	NA
3005	0	2	0	10	4	0	0	0
3006	0	0	0	16	0	0	0	4
3007	0	1	0	4	0	0	16	17
3008	4	0	0	2	10	0	0	12
3009	0	0	0	2	0	2	0	0
3010	0	0	0	15	21	0	0	24
3011	0	0	0	5	4	0	0	0
3012	2	0	0	6	0	4	0	13
3013	4	0	0	0	0	0	4	0
3014	5	23	0	0	9	0	4	0
3015	0	0	0	17	12	0	0	8
3016	0	2	0	11	10	0	0	7
3017	3	0	0	12	0	0	0	16
3018	6	5	0	0	0	0	0	19
3019	3	0	0	3	19	0	0	0
3020	0	6	0	3	0	0	0	10
3021	0	0	0	28	0	0	0	6
3022	NA	NA	NA	NA	NA	NA	NA	NA
3023	6	0	0	18	0	0	0	10
3024	NA	NA	NA	NA	NA	NA	NA	NA
3025	7	0	0	19	0	0	0	3
3026	0	9	0	13	0	0	0	25
3027	4	0	0	3	6	3	6	22
3028	NA	NA	NA	NA	NA	NA	NA	NA
3029	NA	NA	NA	NA	NA	NA	NA	NA
3030	3	10	0	12	0	0	3	32
3031	0	0	0	11	5	2	20	16
3032	0	0	0	20	0	0	0	37
3033	10	0	0	13	8	0	0	13
3034	0	0	0	23	0	2	6	17
3035	0	0	0	0	0	0	0	0
3036	4	0	0	10	0	0	0	0
3037	0	0	0	4	0	0	0	1
3038	6	0	0	24	13	2	2	8
3039	0	0	0	8	14	0	0	0
3040	0	0	0	6	0	0	0	16
3041	0	0	6	7	17	0	2	4
3042	5	3	0	6	0	0	3	0
3043	0	0	0	12	4	0	0	2
3044	2	0	0	11	14	0	4	21
3045	NA	NA	NA	NA	NA	NA	NA	NA
3046	2	0	0	19	13	0	0	4
3047	4	0	0	1	0	0	4	10
3048	0	7	0	3	25	0	0	45
3049	0	0	0	8	7	0	0	6
3050	4	0	0	12	0	0	0	0
3051	9	17	0	8	20	0	12	0
3052	14	31	0	19	0	0	0	18
3053	NA	NA	NA	NA	NA	NA	NA	NA
3054	2	0	0	0	5	0	0	2
3055	2	0	0	6	14	0	0	4
3056	3	0	0	3	0	3	0	9
3057	4	0	0	12	3	0	0	4
3058	0	0	0	9	20	6	6	2
3059	2	7	0	0	0	0	0	0
3060	0	0	0	0	0	0	0	0
3061	2	0	0	2	0	0	0	3
3062	5	0	0	11	14	6	2	20
3063	4	0	0	11	0	0	0	2
3064	6	3	0	9	0	0	0	18
3065	0	0	0	9	0	0	0	0
3066	0	0	0	4	4	14	0	0
3068	0	0	0	11	0	0	0	8
3070	0	0	0	0	9	0	6	22
3071	0	0	0	0	2	0	0	0
3072	0	1	0	5	0	0	0	0
3073	8	0	2	9	11	0	0	2
3075	0	0	0	8	0	0	2	0
3076	0	0	4	18	9	0	0	0
3078	0	0	0	12	0	0	0	1
3079	0	0	0	3	10	0	4	4
3080	0	0	0	66	0	0	0	13
3081	10	0	0	4	7	3	0	2
3082	5	0	0	11	0	0	0	2
3083	3	23	0	20	0	0	0	11
3084	2	4	0	13	2	0	0	2
3085	14	0	0	14	9	0	0	5
3086	4	3	0	8	0	0	0	3
3087	5	5	0	27	13	0	0	0
3088	0	0	0	5	0	0	7	9
3089	3	0	0	0	15	0	15	27
3090	6	0	0	3	0	0	7	14
3091	2	0	0	4	0	2	12	29
3092	5	0	0	6	0	0	0	0
3093	0	0	0	4	12	0	0	0
3094	0	10	0	0	2	0	0	0
3095	10	0	0	16	16	0	0	22
3096	0	2	0	13	0	0	0	10
3097	0	9	3	5	8	0	0	5
3098	0	0	0	5	0	0	0	0
3099	3	0	0	13	0	0	0	3
3100	8	0	0	5	0	0	0	17
3101	0	0	0	8	0	0	0	2
3102	3	0	0	5	0	0	0	0
3103	6	0	0	16	3	0	0	20
3104	0	1	0	0	0	3	12	14
3105	0	0	0	0	2	0	0	4
3106	0	1	0	4	0	0	0	0
3107	2	2	0	0	0	0	0	0
3108	0	0	0	28	0	0	0	0
3109	0	0	0	11	11	0	0	6
3110	7	8	0	17	0	0	0	6
3111	4	0	0	12	11	0	2	20
3112	0	12	0	13	0	0	7	12
3113	4	0	0	9	0	0	2	6
3114	0	3	0	0	0	3	0	0
3115	0	0	0	12	14	0	0	4
3116	0	0	0	3	8	0	0	3
3117	3	0	0	5	9	0	0	2
3118	0	0	0	15	0	0	2	4
3119	0	0	0	8	0	0	0	2
3120	NA	NA	NA	NA	NA	NA	NA	NA
3121	0	11	0	27	4	2	4	20
3122	2	0	0	7	8	0	0	4
3123	2	2	0	10	7	0	0	2
3124	0	0	0	14	4	0	0	5
3125	0	0	1	3	17	11	10	4
3126	0	0	0	18	9	0	6	9
3127	0	0	0	12	4	0	0	6
3128	9	11	0	24	0	4	6	19
3129	2	0	0	4	7	0	0	8
3130	6	0	0	33	0	0	0	5
3131	NA	NA	NA	NA	NA	NA	NA	NA
3132	6	0	0	8	0	0	3	24
3133	NA	NA	NA	NA	NA	NA	NA	NA
3134	0	0	0	15	25	5	15	5
3135	2	0	0	12	4	0	0	0
3136	6	0	0	0	0	0	0	10
3137	0	2	0	18	0	0	6	7
3138	0	0	0	0	0	0	0	0
3139	2	2	0	9	0	7	13	12
3140	0	0	0	8	0	0	0	7
3141	4	0	0	7	7	0	0	0
3142	0	16	2	16	0	0	0	0
3143	0	0	0	5	0	0	0	0
3144	0	0	0	37	5	1	15	13
3145	NA	NA	NA	NA	NA	NA	NA	NA
3146	0	0	0	21	0	0	0	0
3147	4	2	0	9	7	2	0	2
3148	3	0	0	0	0	0	0	0
3149	6	0	0	25	0	0	0	5
3150	NA	NA	NA	NA	NA	NA	NA	NA
3151	3	0	0	6	9	0	0	6
3152	2	0	0	9	0	0	0	21
3153	4	0	0	7	6	2	2	16
3154	2	0	0	4	0	2	8	26
3155	0	0	0	15	0	4	6	16
3156	7	0	0	20	0	0	0	0
3157	0	0	0	15	8	11	17	14
3158	NA	NA	NA	NA	NA	NA	NA	NA
3159	0	0	0	13	5	0	4	18
3160	2	0	2	8	0	2	8	15
3161	0	0	0	13	5	0	0	4
3162	3	0	0	6	0	0	0	2
3164	4	0	0	18	5	1	3	2
3165	0	3	4	8	5	0	0	1
3167	0	0	0	5	17	0	0	0
3168	NA	NA	NA	NA	NA	NA	NA	NA
3169	0	0	0	12	4	0	0	0
3170	4	3	0	4	1	4	2	0
3171	6	0	0	8	0	15	3	30
3172	3	8	0	33	2	5	3	24
3173	5	0	0	3	0	0	0	6
3175	0	4	0	0	4	0	0	0
3176	2	0	0	13	0	0	6	4
3177	0	0	0	6	0	0	0	2
