INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK
9764	0	6	0	0	0	3	0	0
9765	0	2	0	0	16	0	2	2
9766	0	10	0	0	0	0	0	0
9767	NA	NA	NA	NA	NA	NA	NA	NA
9768	NA	NA	NA	NA	NA	NA	NA	NA
9769	0	0	0	2	3	0	3	2
9770	0	3	0	0	14	0	0	15
9771	0	15	0	0	0	0	0	0
9772	0	7	0	12	0	2	6	21
9773	0	0	0	2	8	0	0	2
9774	0	2	0	0	0	2	11	17
9775	0	0	0	0	0	0	0	0
9776	0	0	0	2	7	0	0	0
9777	NA	NA	NA	NA	NA	NA	NA	NA
9778	0	0	0	0	9	0	0	2
9779	0	10	0	0	10	0	0	2
9780	0	0	0	0	0	0	0	25
9781	0	0	0	0	0	0	0	0
9782	2	0	0	0	14	0	0	9
9783	6	2	0	0	0	0	0	0
9784	0	0	0	0	5	0	0	2
9785	0	0	0	0	10	1	0	0
9786	0	3	0	0	11	0	0	3
9787	0	0	0	0	5	0	0	6
9788	0	25	0	0	3	0	0	0
9789	0	0	0	0	0	0	0	6
9790	0	17	0	0	0	0	0	0
9791	0	0	0	0	0	0	0	0
9792	0	4	0	0	1	0	0	1
9793	4	0	0	2	10	2	2	29
9794	0	0	0	0	0	0	0	0
9795	0	12	0	0	14	0	0	0
9796	NA	NA	NA	NA	NA	NA	NA	NA
9797	0	10	0	0	0	0	0	5
9798	0	0	0	0	0	0	0	0
9799	0	4	0	0	0	0	0	0
9800	0	0	0	0	0	0	0	0
9801	0	6	0	0	6	0	0	11
9802	0	0	0	0	0	0	0	1
9803	0	14	0	0	5	0	0	0
9804	2	0	0	0	2	0	0	0
9805	0	14	0	17	11	0	0	3
9806	0	3	0	0	0	0	0	0
9807	0	0	0	0	0	0	0	10
9808	0	3	0	0	13	1	4	1
9809	0	9	0	0	0	0	0	0
9810	0	3	0	0	13	0	0	8
9811	0	0	0	2	4	0	0	0
9812	0	0	0	0	8	0	0	3
9813	0	27	0	0	0	0	0	0
9814	NA	NA	NA	NA	NA	NA	NA	NA
9815	0	6	0	0	0	0	5	0
9816	0	2	0	0	0	0	4	3
9817	0	0	0	0	0	0	0	14
9818	0	0	0	0	0	0	0	0
9819	0	2	0	0	6	0	4	0
9820	0	0	0	0	3	0	0	2
9821	0	4	0	0	19	0	0	18
9822	0	0	0	0	6	0	0	0
9823	0	0	0	0	4	0	0	0
9824	0	10	0	0	0	0	0	0
9825	NA	NA	NA	NA	NA	NA	NA	NA
9826	0	5	0	0	0	0	0	11
9827	0	20	0	0	0	0	0	8
9828	0	13	0	0	0	0	0	3
9829	0	5	0	0	0	0	0	0
9830	0	0	0	0	21	0	0	0
9831	0	0	0	0	3	0	0	0
9832	0	0	0	0	0	0	0	0
9833	NA	NA	NA	NA	NA	NA	NA	NA
9834	0	0	0	0	0	0	0	0
9835	0	2	0	0	12	0	0	0
9836	0	12	0	0	0	0	0	23
9837	0	0	0	0	0	0	0	0
9838	0	5	0	0	1	0	0	0
9839	0	10	0	0	0	0	0	0
9840	0	7	0	0	0	0	0	0
9841	0	0	0	0	11	0	0	0
9842	0	3	0	0	6	0	0	3
9843	2	0	0	3	0	0	0	4
9844	0	0	0	0	4	0	0	0
9845	0	0	0	0	4	2	18	0
9846	0	0	0	0	0	0	0	0
9847	0	0	0	0	0	0	0	0
9848	0	2	0	0	7	0	0	0
9849	0	6	0	2	11	0	0	21
9850	0	0	0	0	0	0	0	0
9851	4	0	0	1	14	6	10	25
9852	NA	NA	NA	NA	NA	NA	NA	NA
9853	0	3	0	0	0	0	0	0
9854	0	4	0	0	10	0	0	3
9855	0	2	0	0	0	0	0	0
9856	0	0	0	0	0	0	0	0
9857	0	2	0	0	0	0	0	5
9858	0	9	0	0	8	0	0	0
9859	5	0	0	0	0	0	0	0
9860	0	0	0	0	3	0	0	0
9861	0	2	0	0	0	0	0	4
9862	0	0	0	0	2	0	0	0
9863	0	9	0	0	0	2	3	0
9864	NA	NA	NA	NA	NA	NA	NA	NA
9865	NA	NA	NA	NA	NA	NA	NA	NA
9866	0	8	0	2	9	0	0	0
9867	0	0	0	0	8	0	0	0
9868	6	0	0	0	0	0	0	0
9869	0	8	0	0	8	0	0	0
9870	0	0	0	0	3	2	0	19
9871	0	7	0	0	0	2	0	2
9872	0	0	0	0	0	0	0	0
9873	NA	NA	NA	NA	NA	NA	NA	NA
9874	0	0	0	0	2	0	0	0
9875	2	0	0	0	3	9	2	22
9876	4	0	0	0	0	0	0	0
9877	0	7	0	0	0	0	0	0
9878	0	0	0	0	0	0	0	0
9879	NA	NA	NA	NA	NA	NA	NA	NA
9880	0	21	0	2	0	0	0	7
9881	0	0	0	0	0	0	0	2
9882	0	0	0	0	0	0	0	0
9883	0	6	0	0	15	0	0	8
9884	0	1	0	0	4	0	0	0
9885	2	0	0	0	9	0	0	0
9886	0	0	0	0	3	0	0	6
9887	0	0	0	0	0	0	0	3
9888	0	3	0	0	6	0	0	2
9889	NA	NA	NA	NA	NA	NA	NA	NA
9890	0	0	0	0	3	0	0	0
9891	0	0	0	0	6	0	0	5
9892	0	12	0	0	0	4	0	0
9893	0	2	0	0	0	0	0	0
9894	0	22	0	0	0	0	0	0
9895	0	4	0	0	0	0	0	0
9896	6	2	0	2	0	0	0	0
9897	0	1	0	2	7	0	0	21
9898	2	0	0	0	0	0	0	0
9899	3	27	0	0	0	0	0	0
9900	0	4	0	0	0	0	0	0
9901	0	2	0	0	0	0	0	0
9902	0	6	0	0	4	0	0	28
9903	0	10	0	0	3	0	0	0
9904	0	3	0	0	0	0	0	6
9905	0	0	0	0	4	0	0	0
9906	0	9	0	0	3	0	0	11
9907	NA	NA	NA	NA	NA	NA	NA	NA
9908	0	3	0	0	13	0	2	0
9909	0	18	0	0	0	0	0	0
9910	1	3	0	0	0	0	0	0
9911	0	0	0	0	0	0	0	0
9912	0	6	0	0	11	0	0	0
9913	0	2	0	0	0	0	0	8
9914	0	6	0	0	8	0	0	2
9915	0	0	0	0	0	0	0	0
9916	0	8	0	0	4	0	0	0
9917	0	6	0	0	0	0	0	0
9918	0	0	0	0	5	0	0	6
9919	6	0	0	0	8	0	2	9
9920	0	0	0	0	0	3	0	0
9921	2	2	0	0	0	0	0	0
9922	0	5	0	0	0	0	0	2
9923	4	3	0	0	20	0	0	2
9924	0	8	0	0	0	0	0	0
9925	0	0	0	0	20	0	3	0
9926	0	0	0	0	0	0	0	0
9927	NA	NA	NA	NA	NA	NA	NA	NA
9928	0	0	0	2	4	0	0	4
9929	0	0	0	0	0	0	0	0
9930	0	0	0	0	10	0	0	0
9931	0	7	0	0	0	0	0	0
9932	0	17	0	0	0	0	0	0
9933	NA	NA	NA	NA	NA	NA	NA	NA
9934	0	0	0	0	2	0	0	5
9935	0	4	0	0	0	0	0	2
9936	2	0	0	0	0	0	0	5
9937	0	22	0	0	0	0	0	2
9938	0	0	0	0	0	0	0	0
9939	0	6	0	0	0	0	0	0
9940	0	2	0	0	2	0	0	0
9941	0	6	0	0	13	6	7	11
9942	0	0	0	0	8	0	0	27
9943	2	16	0	0	0	0	0	0
9944	0	1	0	0	3	0	0	0
9945	0	2	0	7	0	0	0	8
9946	1	0	0	0	0	0	0	0
9947	0	12	0	0	1	0	0	0
9948	0	9	0	0	0	0	0	0
9949	0	4	0	0	13	0	6	14
9950	0	0	0	0	0	0	0	0
9951	0	0	0	0	14	0	0	16
9952	0	0	0	0	3	0	7	1
9953	NA	NA	NA	NA	NA	NA	NA	NA
9954	NA	NA	NA	NA	NA	NA	NA	NA
9955	0	5	0	0	0	0	0	0
9956	0	0	0	0	10	2	0	10
9957	0	6	0	0	0	0	6	3
9958	0	0	0	0	6	0	0	0
9959	NA	NA	NA	NA	NA	NA	NA	NA
9960	NA	NA	NA	NA	NA	NA	NA	NA
9961	0	0	0	0	0	0	0	3
9962	3	6	0	0	0	0	0	0
9963	0	0	0	0	5	0	6	0
9964	0	4	0	0	0	0	0	0
9965	0	2	0	0	8	4	10	16
9966	0	11	0	0	0	0	0	0
9967	NA	NA	NA	NA	NA	NA	NA	NA
9968	0	14	0	0	0	0	0	7
9969	0	7	0	0	0	0	0	6
9970	0	12	0	0	2	0	0	0
9971	0	4	0	0	13	0	0	2
9972	NA	NA	NA	NA	NA	NA	NA	NA
9973	NA	NA	NA	NA	NA	NA	NA	NA
9974	0	0	0	0	21	0	0	2
9975	0	2	0	0	0	0	4	13
9976	0	4	0	0	0	0	0	3
9977	0	0	0	0	6	0	0	15
9978	0	0	0	0	2	0	0	0
9979	0	17	0	0	7	0	0	17
9980	0	12	0	0	0	0	0	0
9981	0	10	0	0	0	0	0	3
9982	0	8	0	6	0	0	2	0
9983	0	3	0	0	0	0	0	2
9984	0	3	0	3	3	0	0	9
9985	NA	NA	NA	NA	NA	NA	NA	NA
