INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	NOT_TT	NOT_MACAQUE_BUT_OTHERS
8080	2.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	78.0	0.0	12.0	38.0	5.0	2.0	14.0		
8081	0.0	6.0	0.0	0.0	1.0	0.0	0.0	6.0	1.0	6.0	0.0	0.0	4.0	0.0	0.0	3.0	5.0	70.0	6.0	34.0	104.0	4.0	3.0	113.0		Y
8082	0.0	2.0	0.0	0.0	5.0	0.0	0.0	6.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	3.0	2.0	20.0	0.0	8.0	82.0	0.0	2.0	81.0	Y	Y
8083	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	4.0	0.0	3.0	49.0	0.0	1.0	2.0	Y	
8084	0.0	15.0	0.0	0.0	20.0	0.0	0.0	11.0	0.0	7.0	0.0	0.0	8.0	0.0	0.0	5.0	14.0	80.0	3.0	15.0	177.0	1.0	3.0	64.0		Y
8085	2.0	0.0	0.0	0.0	6.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	15.0	73.0	0.0	5.0	113.0	0.0	9.0	86.0	Y	
8086	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	1.0	2.0	0.0	1.0	1.0	3.0	96.0	0.0	5.0	7.0	0.0	27.0	28.0	Y	
8087	6.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	27.0	47.0	1.0	7.0	24.0	1.0	7.0	25.0		
8088	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	14.0	1.0	3.0	9.0	1.0	1.0	125.0		Y
8089	4.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	3.0	0.0	1.0	2.0	0.0	0.0	0.0	83.0	56.0	0.0	9.0	103.0	1.0	3.0	39.0		
8090	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	99.0	0.0	3.0	26.0	1.0	10.0	16.0		
8091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	0.0	3.0	1.0	4.0	0.0	1.0	0.0	2.0	0.0	4.0		
8092	0.0	3.0	0.0	0.0	0.0	0.0	0.0	19.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	7.0	0.0	3.0	4.0	0.0	0.0	59.0	Y	Y
8093	0.0	6.0	0.0	4.0	12.0	0.0	0.0	24.0	1.0	2.0	0.0	3.0	11.0	0.0	0.0	9.0	12.0	39.0	1.0	32.0	73.0	0.0	3.0	135.0	Y	Y
8094	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	3.0	14.0	6.0	0.0	2.0	49.0	0.0	0.0	79.0	Y	
8095	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	116.0	0.0	15.0	12.0	9.0	17.0	10.0		Y
8096	0.0	2.0	0.0	0.0	4.0	0.0	0.0	14.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	9.0	15.0	14.0	2.0	14.0	30.0	0.0	2.0	91.0	Y	Y
8097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	2.0	8.0	4.0	0.0	1.0	29.0	Y	
8098	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	8.0	0.0	4.0	6.0	0.0	11.0	2.0	Y	
8099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	8.0	0.0	0.0	2.0	3.0	2.0	0.0	15.0	37.0	0.0	0.0	17.0		
8100	0.0	11.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	58.0	0.0	8.0	10.0	12.0	48.0	4.0		
8101	0.0	8.0	0.0	0.0	9.0	0.0	0.0	8.0	0.0	3.0	0.0	0.0	7.0	0.0	0.0	5.0	8.0	43.0	10.0	20.0	115.0	5.0	14.0	37.0		Y
8102	0.0	0.0	0.0	0.0	15.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	10.0	0.0	0.0	4.0	1.0	16.0	1.0	9.0	61.0	1.0	2.0	147.0		
8103	0.0	25.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	14.0	0.0	1.0	4.0	0.0	0.0	1.0	1.0	100.0	0.0	8.0	19.0	1.0	1.0	24.0		Y
8104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	8.0	41.0	0.0	9.0	105.0	0.0	0.0	41.0	Y	
8105	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	7.0	1.0	73.0	2.0	25.0	11.0	2.0	6.0	113.0		
8106	0.0	7.0	0.0	27.0	7.0	0.0	0.0	4.0	1.0	3.0	0.0	18.0	2.0	2.0	0.0	1.0	3.0	32.0	1.0	145.0	29.0	2.0	0.0	10.0		Y
8107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	12.0	0.0	25.0	32.0	0.0	0.0	13.0	Y	
8108	2.0	2.0	0.0	0.0	11.0	0.0	0.0	8.0	1.0	5.0	0.0	0.0	7.0	0.0	0.0	4.0	9.0	28.0	3.0	4.0	89.0	0.0	1.0	80.0	Y	
8109	5.0	16.0	0.0	0.0	21.0	0.0	0.0	6.0	1.0	5.0	0.0	0.0	11.0	0.0	0.0	3.0	18.0	66.0	0.0	10.0	153.0	0.0	1.0	55.0	Y	
8110	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	78.0	0.0	69.0	128.0	0.0	11.0	121.0	Y	
8111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1188.0	5.0	167.0	370.0	157.0	153.0	452.0		
8112	0.0	9.0	0.0	2.0	4.0	0.0	4.0	2.0	0.0	11.0	0.0	1.0	2.0	0.0	2.0	1.0	5.0	95.0	0.0	10.0	33.0	11.0	48.0	16.0		
8113	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	19.0	0.0	12.0	11.0	0.0	19.0	1.0	Y	
8114	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	30.0	0.0	8.0	30.0	0.0	2.0	5.0	Y	
