INDEX	MACAQUE_COUNT_IN_TA	OTHER_SPIECIES_COUNT_IN_TA	TC_CT_COUNT_IN_TA	THALAM_COUNT_IN_TA	CORTEX_COUNT_IN_TA	INJECT_COUNT_IN_TA	METHOD_COUNT_IN_TA	CONNECT_COUNT_IN_TA	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
96	7.0	0.0	7.0	25.0	3.0	3.0	12.0	13.0			260.68651190100366
97	4.0	4.0	13.0	17.0	8.0	0.0	0.0	12.0			222.50439315548144
98	4.0	0.0	4.0	22.0	1.0	0.0	0.0	29.0			188.28977117718455
99	4.0	0.0	0.0	12.0	6.0	5.0	18.0	17.0			172.88837120272427
100	2.0	0.0	3.0	12.0	12.0	0.0	8.0	26.0			203.81005393206885
101	10.0	0.0	0.0	48.0	0.0	5.0	25.0	14.0			203.1545285903824
103	2.0	0.0	5.0	12.0	6.0	2.0	3.0	17.0			211.7009807767188
104											0.0
105	4.0	0.0	2.0	11.0	5.0	4.0	4.0	25.0			195.8900578908025
106	4.0	1.0	0.0	11.0	0.0	2.0	18.0	15.0			153.048450603446
107	2.0	0.0	0.0	32.0	0.0	4.0	4.0	6.0			152.6007997814082
108	6.0	0.0	0.0	22.0	10.0	0.0	0.0	3.0	Y		11.396932611869609
109	3.0	0.0	0.0	8.0	17.0	0.0	0.0	26.0			109.27231368852905
110	2.0	3.0	5.0	26.0	0.0	0.0	0.0	4.0			175.65374098691197
111	4.0	1.0	0.0	19.0	0.0	0.0	0.0	5.0			100.85809109330081
113	6.0	0.0	0.0	18.0	4.0	0.0	2.0	0.0			107.86689911662972
114	4.0	0.0	0.0	16.0	4.0	8.0	11.0	19.0			176.1278809814685
115	8.0	2.0	4.0	27.0	17.0	0.0	2.0	29.0			223.6117690745492
116	2.0	0.0	0.0	17.0	8.0	4.0	12.0	24.0			175.49585601237183
117	6.0	1.0	1.0	20.0	0.0	0.0	3.0	7.0			155.15732974435667
118	6.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0			74.85648880168105
119											0.0
120	8.0	6.0	21.0	31.0	8.0	0.0	19.0	15.0			304.91921280339574
121	2.0	0.0	0.0	11.0	9.0	1.0	3.0	23.0			138.63507867888805
122	3.0	0.0	6.0	16.0	3.0	1.0	2.0	4.0			202.0347184347789
123	2.0	0.0	0.0	35.0	0.0	0.0	0.0	2.0	Y		10.60671577914244
124	4.0	0.0	2.0	26.0	0.0	2.0	4.0	14.0			196.59579634321784
126	14.0	0.0	10.0	20.0	12.0	2.0	6.0	19.0			268.5259675058898
