INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX
10416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	179.0	0.0	16.0	33.0	5.0	33.0	231.0	0.0
10417	0.0	2.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	0.0	0.0	3.0	1.0	5.0	1.0	1.0	41.0	8.0	0.0	6.0	5.493061443340549
10418	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	6.0	6.0	0.0	24.0	58.0	0.0	4.0	49.0	24.849066497880003
10419	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	10.0	2.0	0.0	0.0	5.0	24.0	41.0	0.0	127.0	15.0	0.0	14.0	151.0	77.00295203420117
10420	0.0	8.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	3.0	17.0	0.0	7.0	9.0	0.0	44.0	28.0	10.986122886681096
10421	5.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	25.0	49.0	0.0	7.0	1.0	5.0	18.0	0.0	30.664820546908405
10422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	2.0	5.0	0.0	1.0	1.0	0.0	2.0	6.0	8.0	15.0	0.0	42.0	6.0	0.0	19.0	46.0	20.21525633917275
10423	0.0	0.0	0.0	0.0	5.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	3.0	2.0	0.0	6.0	34.0	0.0	7.0	62.0	20.948273710132128
10424	0.0	0.0	0.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	14.0	9.0	1.0	1.0	87.0	17.0	43.0	85.0	18.68834809141684
10425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	10.0	496.0	0.0	36.0	73.0	4.0	71.0	1152.0	0.0
10426	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	7.0	2.0	8.0	38.0	1.0	6.0	13.0	8.047189562170502
10427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0	1918.0	0.0	17.0	130.0	202.0	296.0	418.0	0.0
10428	0.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	15.0	0.0	3.0	0.0	0.0	65.7945950195271
10429	0.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	120.0	0.0	4.0	3.0	26.0	5.0	3.0	6.081976621622466
10430	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	94.0	0.0	32.0	21.0	5.0	53.0	30.0	0.0
10431	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	17.0	1.0	1.0	50.0	0.0	1.0	5.0	-1.438410362258904
10432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	4.0	6.0	8.0	0.0	17.0	4.0	0.0	2.0	26.0	0.0
10433	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	152.0	0.0	5.0	46.0	5.0	10.0	8.0	-10.39720770839918
10434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0
