INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX_TAK	RELEVANCE_INDEX_500	RELEVANCE_INDEX_FULL_TEXT
3701	2.0	12.0	0.0	15.0	7.0	0.0	0.0	0.0	1.0	6.0	0.0	13.0	5.0	0.0	1.0	3.0	37.0	69.0	0.0	172.0	67.0	0.0	1.0	19.0	43.97931910255502	52.25196576098059	122.41945875739287
8201	0.0	2.0	0.0	8.0	8.0	0.0	0.0	13.0	0.0	1.0	0.0	4.0	6.0	0.0	0.0	8.0	5.0	34.0	0.0	35.0	79.0	0.0	4.0	127.0	43.95643073078337	35.42375839517878	108.90675157117133
3766	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	4.0	0.0	0.0	1.0	1.0	6.0	8.0	33.0	35.0	12.0	5.0	29.0	43.94449154672439	34.38678242344842	197.37403462915853
8169	2.0	0.0	0.0	0.0	8.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	5.0	1.0	17.0	29.0	2.0	11.0	91.0	0.0	60.0	17.0	43.94449154672439	37.27359974682	152.5852368466792
5201	0.0	4.0	0.0	8.0	6.0	0.0	0.0	21.0	0.0	3.0	0.0	5.0	4.0	0.0	0.0	13.0	5.0	14.0	3.0	45.0	50.0	3.0	0.0	108.0	43.93813296056214	36.38748218028756	156.2870220801295
3629	0.0	0.0	0.0	1.0	9.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	8.0	1.0	0.0	8.0	32.0	10.0	0.0	63.0	110.0	9.0	12.0	64.0	43.88237894673161	42.76666119016056	187.8788986932009
9870	0.0	0.0	0.0	0.0	3.0	2.0	0.0	19.0	0.0	0.0	0.0	0.0	6.0	1.0	1.0	16.0	77.0	6.0	2.0	7.0	267.0	104.0	104.0	270.0	43.882378946731606	44.69003288235601	283.5193301139649
2118	2.0	0.0	0.0	2.0	4.0	0.0	0.0	15.0	2.0	1.0	0.0	1.0	2.0	0.0	0.0	10.0	37.0	12.0	0.0	57.0	93.0	2.0	2.0	68.0	43.882378946731606	34.013838138493064	148.6957680821846
8567	0.0	0.0	0.0	17.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	12.0	4.0	0.0	0.0	6.0	6.0	27.0	2.0	131.0	45.0	2.0	24.0	84.0	43.8823789467316	43.426233882062434	184.6054861997104
4352	8.0	8.0	0.0	0.0	11.0	0.0	0.0	15.0	4.0	2.0	0.0	0.0	5.0	0.0	0.0	8.0	33.0	72.0	4.0	6.0	133.0	0.0	25.0	145.0	43.86527347882866	33.84207477982616	168.36593315378155
